market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,income_growth_annualized_pct,income_latest,market_display,rent_to_value,growth_score,value_score,balanced_score
"Greenville, SC",1551.0590318388563,1544.1801900368553,61,0.4454688543722903,greenville,"Greenville, SC",310898.0151014505,305591.1555557797,61,1.736588068466574,"Greenville-Anderson-Greer, SC",4.804450546971192,975480.0,0.0,,"Greenville, SC",0.059867569035436524,2.140499126380246,4.21702113888718,2.966251690879859
"Indianapolis, IN",1513.5063950599276,1475.2721367167603,34,2.5916749453601295,indianapolis,"Indianapolis, IN",290744.5746756315,287108.6417250039,34,1.2663962076453703,"Indianapolis-Carmel-Greenwood, IN",2.184833794848393,2138468.0,0.0,,"Indianapolis, IN",0.06246746568179857,2.0720389788921807,4.2053146528961705,2.889659297867451
"Greensboro, NC",1427.8279983059226,1386.423106511873,76,2.9864542504792086,greensboro,"Greensboro, NC",263849.83086342533,261701.4455789074,76,0.820929849953827,"Greensboro-High Point, NC",1.9228560625905715,789842.0,0.0,,"Greensboro, NC",0.06493821096493325,2.017717473955003,4.310865595856002,2.8806469725785275
"St. Louis, MO",1415.989568522473,1364.3489907178323,21,3.784997691644191,st louis,"St. Louis, MO",270704.4865033018,263559.72832673404,21,2.7108686983128387,"St. Louis, MO-IL",-0.787915204674214,2796999.0,0.0,,"St. Louis, MO",0.0627690920152608,2.090885124749264,4.008957967988319,2.8716195212081295
"Des Moines, IA",1268.0793185967866,1245.2222559888194,84,1.8355809573783002,des moines,"Des Moines, IA",290939.66544689325,286845.5151436768,84,1.427301487062043,"Des Moines-West Des Moines, IA",3.6507311586051743,737164.0,0.0,,"Des Moines, IA",0.05230277487185421,2.257642176651485,3.8551313154956097,2.866237946067378
"Philadelphia, PA",1868.832651986005,1808.0784217438331,7,3.360154599023219,philadelphia,"Philadelphia, PA",383957.83059877664,373920.1232399102,7,2.6844523027786313,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.06717433783292992,6246160.0,0.0,,"Philadelphia, PA",0.0584074344540885,2.169549831792756,3.874282740353518,2.864101728941626
"Knoxville, TN",1730.9390785480855,1716.5398131076424,65,0.838854148938991,knoxville,"Knoxville, TN",361803.8791881092,357155.8849456156,65,1.301390915958543,"Knoxville, TN",4.456140660738098,946264.0,0.0,,"Knoxville, TN",0.05741029916314861,2.0628011325845885,4.059653011688703,2.8392451221188297
"Louisville, KY",1371.3713558427746,1339.5813408503898,46,2.3731306209598277,louisville,"Louisville, KY",277723.5848229106,271277.9629786346,46,2.3760211752930616,,1.3925950343389932,,0.0,,"Louisville, KY",0.05925480286669457,2.0798371112735476,3.9534873919237987,2.8391892960298533
"New York, NY",3337.13988779536,3202.101188402823,1,4.217190258746731,new york,"New York, NY",715583.951353278,687072.3507493674,1,4.1497231802173316,"New York-Newark-Jersey City, NY-NJ",-2.4626539734005277,19498249.0,0.0,,"New York, NY",0.05596223696438672,2.192996865543734,3.5639914233103096,2.806169118615955
"Pittsburgh, PA",1478.5450759029336,1422.435563740758,27,3.944608359946891,pittsburgh,"Pittsburgh, PA",224487.2591324515,221606.41402054208,27,1.299982730482867,"Pittsburgh, PA",-1.3276460978861029,2422725.0,0.0,,"Pittsburgh, PA",0.07903584808956479,1.5695443337577857,4.605183129938684,2.7571836279245545
"Ogden, UT",1640.7230184509788,1610.2378918394606,87,1.8932063868335218,ogden,"Ogden, UT",515981.2047466151,502635.5264292078,87,2.6551402787257805,"Ogden, UT",2.9714882944452006,658133.0,0.0,,"Ogden, UT",0.03815773915850353,2.445271126684703,3.1463399220534995,2.7377738425128726
"Minneapolis, MN",1681.2579918505862,1622.5171141739863,16,3.6203548895386857,minneapolis,"Minneapolis, MN",386374.1840177592,379073.8092049751,16,1.9258452141800795,"Minneapolis-St. Paul-Bloomington, MN-WI",0.4847170390518538,3712020.0,0.0,,"Minneapolis, MN",0.052216469776561754,2.1713106317850546,3.6244223959642037,2.7330764257008244
"El Paso, TX",1472.7362460527977,1443.9599156515656,69,1.992875985636156,el paso,"El Paso, TX",230500.1377258557,227343.0696605256,69,1.3886801432057325,"El Paso, TX",0.4057245212128737,873331.0,0.0,,"El Paso, TX",0.07667168934038851,1.3354717935800442,4.452172582709806,2.5798977486032686
"Detroit, MI",1473.3170913555934,1439.8213597439849,14,2.326381073938537,detroit,"Detroit, MI",262839.8217654431,255116.5363680326,14,3.0273558536671348,"Detroit-Warren-Dearborn, MI",-0.9792832697261363,4342304.0,0.0,,"Detroit, MI",0.06726456051261703,1.5449742047577142,3.9353831718400447,2.5552236784191513
"Fresno, CA",1999.3400980599752,1943.1569326398264,57,2.89133442988686,fresno,"Fresno, CA",409963.1223301206,407254.0846353935,57,0.6651959543026851,"Fresno, CA",1.2113419967630072,1180020.0,0.0,,"Fresno, CA",0.05852253500352699,1.7194951572744515,3.8131816309365916,2.506985516803021
"Palm Bay, FL",1894.5301951360689,1864.098053817563,97,1.6325397291297377,palm bay,"Palm Bay, FL",341313.1011878468,352163.7132146396,97,-3.0811272199925543,"Palm Bay-Melbourne-Titusville, FL",5.782760461582686,643979.0,0.0,,"Palm Bay, FL",0.06660852531740535,1.4635058641289347,4.5053735820134975,2.4973407354845616
"Albany, NY",1643.1499277717587,1579.3864262873285,64,4.037232460856295,albany,"Albany, OR",409113.7143227221,406305.0056179239,330,0.6912808520600433,"Albany-Schenectady-Troy, NY",0.5510578799720803,904682.0,0.0,,"Albany, NY",0.048196377786805425,1.987594603952155,3.3966050427119505,2.4856819770010277
"Deltona, FL",1784.1658223017291,1773.835478131257,90,0.5823732977398263,deltona,"Deltona, FL",328408.44934261,340788.091092959,90,-3.6326509270454785,"Deltona-Daytona Beach-Ormond Beach, FL",7.441456138992921,721796.0,0.0,,"Deltona, FL",0.06519317609056068,1.375590882680163,4.501159599170036,2.430776814120022
"Dayton, OH",1320.887057708024,1281.6045026709917,74,3.0651074457965453,dayton,"Dayton, TN",261349.99421178192,258561.3054060373,797,1.0785406584196067,"Dayton-Kettering-Beavercreek, OH",0.018914062605547226,814363.0,0.0,,"Dayton, OH",0.06064911055498973,1.5552793946261643,3.757113895271866,2.406878125095047
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,cleveland,"Cleveland, TN",308473.08157988515,305820.53543072706,334,0.867353837250388,"Cleveland, OH",-1.1530070532000376,2158932.0,0.0,,"Cleveland, OH",0.05519801569207551,1.7435164782432249,3.530640979202867,2.4044563421251874
"Worcester, MA",2139.527678119612,2091.8372984660277,58,2.2798321690007337,worcester,"Worcester, MA",472894.6395856258,465714.4571258871,58,1.541756402421026,"Worcester, MA",0.83718268310245,866866.0,0.0,,"Worcester, MA",0.05429186543525318,1.6256145932573363,3.492171882425399,2.3645217307861524
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,columbus,"Columbus, OH",326730.1088525419,322982.6741664121,32,1.160258733940318,"Columbus, OH",1.7916844663253801,2180271.0,0.0,,"Columbus, OH",0.055589125931639165,1.5657741663342004,3.593914666368312,2.359911723390076
"Jacksonville, FL",1679.411866832154,1668.8709430993422,40,0.631620064834712,jacksonville,"Jacksonville, FL",348911.573357303,357012.3537160556,40,-2.2690476322271524,"Jacksonville, FL",6.215758276135925,1713240.0,0.0,,"Jacksonville, FL",0.05775945523408656,1.4366612191065165,4.03054366667574,2.3313527851093383
"Charlotte, NC",1726.3878965136255,1718.475777584533,23,0.46041492305545484,charlotte,"Charlotte, NC",387279.0120355676,389691.2513882686,23,-0.6190129606726957,"Charlotte-Concord-Gastonia, NC-SC",5.074221312074125,2805115.0,0.0,,"Charlotte, NC",0.05349284137365258,1.5207284746426109,3.7196680196412752,2.3217833922400457
"McAllen, TX",1103.028262080262,1098.3029693753344,67,0.43023581258412985,mcallen,"McAllen, TX",193560.98398714853,193197.6769159393,67,0.18804939945904242,"McAllen-Edinburg-Mission, TX",2.9346192269973512,898471.0,0.0,,"McAllen, TX",0.06838330159471587,1.10889491297057,4.110941027597994,2.277403932283655
United States,1910.4249941685807,1875.848731532796,0,1.8432329885966774,united states,United States,366018.81522011664,364397.6998965514,0,0.4448752898345619,,1.3925950343389932,,0.0,,United States,0.06263366520170897,1.2885342926907375,3.8233363936560387,2.2650107816565717
"Baton Rouge, LA",1361.240857011272,1330.830852997171,66,2.2850389999311016,baton rouge,"Baton Rouge, LA",245384.55691368552,244028.3291739169,66,0.5557665146336574,"Baton Rouge, LA",0.3878035496377053,873661.0,0.0,,"Baton Rouge, LA",0.06656853426143314,1.1970866192538496,3.918571874448784,2.252774901275834
"Birmingham, AL",1406.9167294316028,1384.8255094986437,51,1.5952349073174519,birmingham,"Birmingham, AL",259032.550894902,255663.93351989324,51,1.3175958488281059,"Birmingham, AL",0.212730669771598,1184290.0,0.0,,"Birmingham, AL",0.06517713968708597,1.097191918506892,3.752209684654918,2.164694895586881
"Spokane, WA",1520.2836228925346,1491.2035975380538,100,1.9501042917607818,spokane,"Spokane, WA",416800.1733597983,414701.1941126934,100,0.5061425616571799,"Spokane-Spokane Valley, WA",2.1311202077017044,600292.0,0.0,,"Spokane, WA",0.04377014368216683,1.571220547511978,3.0553663401665565,2.1197498535112924
"Bakersfield, CA",1761.692434769421,1720.3813185916904,63,2.401276724601264,bakersfield,"Bakersfield, CA",363091.18358529016,364501.201639616,63,-0.3868349536251799,"Bakersfield-Delano, CA",0.8731551699396187,913820.0,0.0,,"Bakersfield, CA",0.058223141108760056,1.1064067547348373,3.5273599389836616,2.00642589363419
"Durham, NC",1684.4096382150058,1664.1748939049062,95,1.2159025102595877,durham,"Durham, NC",409974.22291276447,416334.7074820108,95,-1.5277334449761635,"Durham-Chapel Hill, NC",4.0783221086458585,608879.0,0.0,,"Durham, NC",0.04930289400873146,1.2515376032047436,3.371216279720046,1.9884757991699296
"Raleigh, NC",1662.0049701027958,1659.1826465574172,43,0.17010324639270666,raleigh,"Raleigh, NC",436132.6376012933,446841.9026373772,43,-2.396656395220561,"Raleigh-Cary, NC",6.474702900621184,1509231.0,0.0,,"Raleigh, NC",0.045729344519880095,1.2914552501772694,3.375762815874727,1.9851294906655697
"Boston, MA",3148.343094068694,3087.2312285189846,10,1.9795039964993526,boston,"Boston, MA",731138.5580115025,719664.3386156372,10,1.5943848791976283,"Boston-Cambridge-Newton, MA-NH",-0.2933122536053429,4919179.0,0.0,,"Boston, MA",0.05167299236901955,1.1821233862774265,3.0803264549495424,1.9525792027282682
