market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,acs_market,income_latest,income_growth_annualized_pct,market_display,rent_to_value,growth_score,value_score,balanced_score,affordability_gap
"Bridgeport, CT",2766.550759286882,2712.053542951267,60,2.009444705738038,bridgeport,"Bridgeport, CT",674486.495616743,640946.1569915239,60,5.232941684626189,"Bridgeport-Stamford-Danbury, CT",0.9337526716909483,951558.0,"Bridgeport-Stamford-Danbury, CT Metro Area",114565.0,3.6759294751108174,"Bridgeport, CT",0.049220569021305824,2.8018422853470906,3.7310888023023514,3.2091944780396875,-1.5570122095153716
"Madison, WI",1673.1994360400815,1626.7743083703388,88,2.853814904186082,madison,"Madison, WI",443055.9358589337,429918.7158646071,88,3.055745076812127,"Madison, WI",1.8247490108549325,694345.0,"Madison, WI Metro Area",88804.0,4.176554689185341,"Madison, WI",0.04531796463477202,2.967619411628318,3.673150706879907,3.2046329509385805,1.1208096123732143
"New York, NY",3337.13988779536,3202.101188402823,1,4.217190258746731,new york,"New York, NY",715583.951353278,687072.3507493674,1,4.1497231802173316,"New York-Newark-Jersey City, NY-NJ",-2.4626539734005277,19498249.0,"New York-Newark-Jersey City, NY-NJ Metro Area",99155.0,4.709828112934411,"New York, NY",0.05596223696438672,2.6568952485509563,3.902927641161228,3.1731105831027264,0.5601049327170795
"Des Moines, IA",1268.0793185967866,1245.2222559888194,84,1.8355809573783002,des moines,"Des Moines, IA",290939.66544689325,286845.5151436768,84,1.427301487062043,"Des Moines-West Des Moines, IA",3.6507311586051743,737164.0,"Des Moines-West Des Moines, IA Metro Area",85890.0,4.138833118963969,"Des Moines, IA",0.05230277487185421,2.7835256540181845,3.9401268031817605,3.0868100153486258,2.7115316319019263
"Pittsburgh, PA",1478.5450759029336,1422.435563740758,27,3.944608359946891,pittsburgh,"Pittsburgh, PA",224487.2591324515,221606.41402054208,27,1.299982730482867,"Pittsburgh, PA",-1.3276460978861029,2422725.0,"Pittsburgh, PA Metro Area",75762.0,4.589714336535899,"Pittsburgh, PA",0.07903584808956479,2.2588961137430896,4.767612926868206,3.0841000051567273,3.2897316060530324
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,cleveland,"Cleveland, TN",308473.08157988515,305820.53543072706,334,0.867353837250388,"Cleveland, OH",-1.1530070532000376,2158932.0,"Cleveland, TN Metro Area",66135.0,5.7863460027332225,"Cleveland, OH",0.05519801569207551,2.7037148371044633,3.9516015984339594,3.071366569630422,4.918992165482835
"Minneapolis, MN",1681.2579918505862,1622.5171141739863,16,3.6203548895386857,minneapolis,"Minneapolis, MN",386374.1840177592,379073.8092049751,16,1.9258452141800795,"Minneapolis-St. Paul-Bloomington, MN-WI",0.4847170390518538,3712020.0,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",99833.0,4.4193368077665385,"Minneapolis, MN",0.052216469776561754,2.6972889714022195,3.820986971816848,3.054315581232792,2.4934915935864588
"McAllen, TX",1103.028262080262,1098.3029693753344,67,0.43023581258412985,mcallen,"McAllen, TX",193560.98398714853,193197.6769159393,67,0.18804939945904242,"McAllen-Edinburg-Mission, TX",2.9346192269973512,898471.0,"McAllen-Edinburg-Mission, TX Metro Area",54338.0,6.311032563864583,"McAllen, TX",0.06838330159471587,2.478093571382531,4.547436652225028,3.0200487151309656,6.12298316440554
"El Paso, TX",1472.7362460527977,1443.9599156515656,69,1.992875985636156,el paso,"El Paso, TX",230500.1377258557,227343.0696605256,69,1.3886801432057325,"El Paso, TX",0.4057245212128737,873331.0,"El Paso, TX Metro Area",59751.0,5.009634120909379,"El Paso, TX",0.07667168934038851,2.2294384848625564,4.7003292288018175,3.0091020935804638,3.620953977703646
"Spokane, WA",1520.2836228925346,1491.2035975380538,100,1.9501042917607818,spokane,"Spokane, WA",416800.1733597983,414701.1941126934,100,0.5061425616571799,"Spokane-Spokane Valley, WA",2.1311202077017044,600292.0,"Spokane-Spokane Valley, WA Metro Area",77488.0,6.555450707356103,"Spokane, WA",0.04377014368216683,2.8579025286241224,3.615772002886014,2.9826209235156953,6.049308145698923
"Worcester, MA",2139.527678119612,2091.8372984660277,58,2.2798321690007337,worcester,"Worcester, MA",472894.6395856258,465714.4571258871,58,1.541756402421026,"Worcester, MA",0.83718268310245,866866.0,"Worcester, MA Metro Area",95939.0,5.499489733422247,"Worcester, MA",0.05429186543525318,2.5764690353155997,3.8897852726573108,2.960021787568126,3.9577333310012213
"Charlotte, NC",1726.3878965136255,1718.475777584533,23,0.46041492305545484,charlotte,"Charlotte, NC",387279.0120355676,389691.2513882686,23,-0.6190129606726957,"Charlotte-Concord-Gastonia, NC-SC",5.074221312074125,2805115.0,"Charlotte-Concord-Gastonia, NC-SC Metro Area",83304.0,5.673573663000253,"Charlotte, NC",0.05349284137365258,2.701270628550692,4.026508050466571,2.943252754248989,6.292586623672949
"Dayton, OH",1320.887057708024,1281.6045026709917,74,3.0651074457965453,dayton,"Dayton, TN",261349.99421178192,258561.3054060373,797,1.0785406584196067,"Dayton-Kettering-Beavercreek, OH",0.018914062605547226,814363.0,"Dayton-Kettering-Beavercreek, OH Metro Area",71739.0,5.216295396497772,"Dayton, OH",0.06064911055498973,2.4440427301987144,4.082111576551478,2.9387635432785673,4.137754738078165
"Detroit, MI",1473.3170913555934,1439.8213597439849,14,2.326381073938537,detroit,"Detroit, MI",262839.8217654431,255116.5363680326,14,3.0273558536671348,"Detroit-Warren-Dearborn, MI",-0.9792832697261363,4342304.0,"Detroit-Warren-Dearborn, MI Metro Area",76664.0,4.682747760158046,"Detroit, MI",0.06726456051261703,2.2292516155229656,4.234117643090047,2.936727744993698,1.655391906490911
"Jacksonville, FL",1679.411866832154,1668.8709430993422,40,0.631620064834712,jacksonville,"Jacksonville, FL",348911.573357303,357012.3537160556,40,-2.2690476322271524,"Jacksonville, FL",6.215758276135925,1713240.0,"Jacksonville, FL Metro Area",79643.0,5.230132405772503,"Jacksonville, FL",0.05775945523408656,2.59714916348209,4.183897334322651,2.8596654546562315,7.499180037999656
"Albany, NY",1643.1499277717587,1579.3864262873285,64,4.037232460856295,albany,"Albany, OR",409113.7143227221,406305.0056179239,330,0.6912808520600433,"Albany-Schenectady-Troy, NY",0.5510578799720803,904682.0,"Albany-Schenectady-Troy, NY Metro Area",88074.0,4.320560881033297,"Albany, NY",0.048196377786805425,2.5673305989202415,3.5742927688914996,2.844833704629239,3.629280028973254
United States,1910.4249941685807,1875.848731532796,0,1.8432329885966774,united states,United States,366018.81522011664,364397.6998965514,0,0.4448752898345619,,1.3925950343389932,,,,5.190157614574709,United States,0.06263366520170897,2.287633116774341,4.126900308686917,2.8058388129244567,4.745282324740146
